LHC,FKB,NBS,YAZ,SCL,LHC,17476.648540285205
ANR,OSN,PBD,SAY,JPR,ANR,18095.983104039267
BOH,SFS,WEL,CWB,WAL,BOH,18533.52332028536
MKO,LKK,JYV,CER,KIF,MKO,19556.502041762757
HTL,HLG,AUF,ASD,E63,HTL,19953.890992235523
PDV,PKN,ISB,SGD,RCS,PDV,2884.786866292718
IWS,BRN,CBO,BLT,KVL,IWS,27513.1900606055
RMS,AMM,ABE,BLD,LTX,RMS,31206.744891440765
TRC,TPL,CEF,TLU,RES,TRC,4153.486598856321
GKE,BHD,QOT,IXL,CMR,GKE,7607.273607235787
MGQ,DIW,JRO,OLC,YSY,MGQ,10384.620322296108
COI,BMX,LED,ONQ,KYS,COI,13855.558412132174
GAJ,COH,BIQ,DAW,ECG,GAJ,14278.324710559578
AXJ,YOC,GGT,ACC,SDV,AXJ,14543.570680541143
AGS,MHV,YXZ,QRW,PSE,AGS,15185.524841913864
CSO,MLC,OSN,WMP,UTN,CSO,16873.252770324514
BXH,ZSN,HHN,PLL,K03,BXH,17600.91243115629
GPT,XCD,YNS,CMX,REI,GPT,18174.721571558053
WSJ,GTN,MTY,PID,1G4,WSJ,18229.20081981211
JMK,CFB,AAO,CKV,ELY,JMK,19970.920511649132
WTE,19A,DAW,QQW,MNL,WTE,24344.872610115115
SCW,PAS,CSK,BSX,BZL,SCW,3375.391079381055
NGZ,KAT,CVO,NQT,BZZ,NGZ,36979.125488560065
XGB,LOK,GDA,ADF,KUT,XGB,4807.749813980456
WHF,KON,SVX,AAH,IBE,WHF,5485.1488681545225
GME,STR,UAK,C89,CWI,GME,5574.930234293818
FIE,AXD,PUU,MQH,SOO,FIE,6407.34235684658
HUX,JOK,ODB,DYU,NAQ,HUX,6958.199715324228
GSP,FUT,UIK,PZB,CEE,GSP,9087.89771583889
QPZ,BBM,TED,TSS,OMO,QPZ,11162.021206994501
ESH,KOI,GER,IAG,QXB,ESH,11664.781807348356
MTM,TIA,FWM,C02,VCV,MTM,13944.44859771782
GUS,38W,TML,GHB,NIP,GUS,15452.05853221684
GZO,KKC,QNC,YPO,VOK,GZO,16016.20017855474
NCA,SJU,BMX,PTU,KZB,NCA,16412.3497225063
BBN,DEZ,LMO,MEM,RKS,BBN,17096.438026803266
COU,RNL,LIK,MZR,SOY,COU,17837.134862340794
PEU,RSI,ERN,QPZ,BTT,PEU,18512.755361598596
MKK,AEP,LBE,BYN,ATP,MKK,18731.829595703053
FEL,RMP,LNV,MZT,YOO,FEL,19932.737067496597
YHF,NY9,DLF,DLC,MHZ,YHF,21201.7634402901
REC,YCB,KOZ,MTL,GUW,REC,21275.675618327394
YRG,SJI,CUA,HTL,YIF,YRG,5928.897662593569
GDN,KNO,YCS,PAN,TIY,GDN,6506.889338367631
CWC,CMF,BOO,CDR,LWN,CWC,8279.483165731055
TNJ,QPJ,GLQ,MQT,YSF,TNJ,9352.75000520747
NUW,FGI,ABA,URS,PYJ,NUW,9939.82566803223
OKO,LHW,ALY,PSH,PPC,OKO,10554.10075929521
L52,FAF,CSK,FLR,PWE,L52,13521.209111333337
QQW,YPL,NXP,N69,CVF,QQW,17966.849303270497
PYM,OXC,SCE,HDO,NAQ,PYM,7269.390911513776
VAK,BIL,LPD,OZC,WUX,VAK,10394.879857527849
LSY,LIO,BEH,JHS,LNV,LSY,10607.455355148433
TCE,GEN,STL,NZJ,HNA,TCE,11158.564271990537
MGT,ORN,LKP,DXR,BHO,MGT,11803.236334450146
PFR,CJL,XBK,FZI,ZPC,PFR,12040.194561003977
AVO,XQU,MUK,NKG,SMR,AVO,12624.133550255112
BLE,SNV,SPZ,SXR,HGU,BLE,12641.690772389782
OQU,SGJ,RJA,OUL,COL,OQU,15720.530179329402
OCJ,NCY,FTU,AEP,NPL,OCJ,16321.18599922166
FOC,MVQ,ASI,VEY,TCS,FOC,19417.555246964675
RTG,BSX,HCN,RTB,FYV,RTG,2944.371805671485
LER,MZK,AGN,ZFV,SLH,LER,20158.95968040312
LIT,RWN,JAD,QCJ,BTR,LIT,21155.14566532235
NNB,LWY,ZQF,LNK,MLU,NNB,21867.041186920484
MRB,HKK,SDV,BOU,ZTB,MRB,22127.334817101524
MLB,TMP,MSH,XBG,OMN,MLB,31440.668637885246
PAP,DZA,PDB,MYR,MIA,PAP,34780.118293595166
SNU,FZG,QYD,DUM,LKH,SNU,4022.759338011816
KND,KFS,LTO,SBM,LLW,KND,5300.0285328271875
TIJ,XEG,HAE,LYG,WWK,TIJ,5438.877390410822
CUN,STB,CBO,DKS,GVA,CUN,5718.258085422654
ZXB,BUU,HRT,MMB,GOB,ZXB,7734.710994721188
ZFA,ZIH,URG,PUZ,INT,ZFA,8411.156239483775
THS,BWO,MWH,SMT,IQN,THS,9213.920214947373
